property 1	property 2	implies	allen 1	allen 2	allen result
ends with and starts before	starts during or after	ends after start of	F	dfOMP	oFDseSdfOMP
ends with and starts before	starts before	starts before	F	pmoFD	pmoFD
ends with and starts before	ends during or before	ends during or before	F	pmosd	pmosd
ends with and starts before	temporally overlaps	temporally overlaps	F	oFDseSdfO	oFDseSdfO
ends with and starts before	ends after start of	ends after start of	F	oFDseSdfOMP	oFDseSdfOMP
ends with and starts before	starts before end of	starts before end of	F	pmoFDseSdfO	pmoFDseSdfO
ends with and starts before	temporally related to	temporally related to	F	pmoFDseSdfOMP	pmoFDseSdfOMP
immediately preceded by	encompasses	strictly preceded by	M	D	P
immediately preceded by	ends with and starts before	immediately preceded by	M	F	M
immediately preceded by	immediately preceded by	strictly preceded by	M	M	P
immediately preceded by	starts during and ends after	strictly preceded by	M	O	P
immediately preceded by	strictly preceded by	strictly preceded by	M	P	P
immediately preceded by	starts with and ends after	strictly preceded by	M	S	P
immediately preceded by	happens during	starts during	M	d	dfO
immediately preceded by	temporally coincides with	immediately preceded by	M	e	M
immediately preceded by	ends with and starts after	immediately preceded by	M	f	M
immediately preceded by	immediately precedes	starts with	M	m	seS
immediately preceded by	starts before and ends during	starts during	M	o	dfO
immediately preceded by	strictly precedes	starts before	M	p	pmoFD
immediately preceded by	starts with and ends before	starts during	M	s	dfO
immediately preceded by	during which ends	strictly preceded by	M	DSO	P
immediately preceded by	ends with	immediately preceded by	M	Fef	M
immediately preceded by	later than	strictly preceded by	M	OMP	P
immediately preceded by	starts during	starts during or after	M	dfO	dfOMP
immediately preceded by	during which starts	starts during or after	M	oFD	dfOMP
immediately preceded by	ends during	starts during	M	osd	dfO
immediately preceded by	earlier than	starts before end of	M	pmo	pmoFDseSdfO
immediately preceded by	starts with	starts during or after	M	seS	dfOMP
immediately preceded by	ends after	strictly preceded by	M	DSOMP	P
immediately preceded by	starts during or after	starts during or after	M	dfOMP	dfOMP
immediately preceded by	starts before	temporally related to	M	pmoFD	pmoFDseSdfOMP
immediately preceded by	ends during or before	starts before end of	M	pmosd	pmoFDseSdfO
immediately preceded by	temporally overlaps	starts during or after	M	oFDseSdfO	dfOMP
immediately preceded by	ends after start of	starts during or after	M	oFDseSdfOMP	dfOMP
immediately preceded by	starts before end of	temporally related to	M	pmoFDseSdfO	pmoFDseSdfOMP
immediately preceded by	temporally related to	temporally related to	M	pmoFDseSdfOMP	pmoFDseSdfOMP
starts during and ends after	encompasses	ends after	O	D	DSOMP
starts during and ends after	ends with and starts before	during which ends	O	F	DSO
starts during and ends after	immediately preceded by	strictly preceded by	O	M	P
starts during and ends after	starts during and ends after	later than	O	O	OMP
starts during and ends after	strictly preceded by	strictly preceded by	O	P	P
starts during and ends after	starts with and ends after	later than	O	S	OMP
starts during and ends after	happens during	starts during	O	d	dfO
starts during and ends after	temporally coincides with	starts during and ends after	O	e	O
starts during and ends after	ends with and starts after	starts during and ends after	O	f	O
starts during and ends after	immediately precedes	during which starts	O	m	oFD
starts during and ends after	starts before and ends during	temporally overlaps	O	o	oFDseSdfO
starts during and ends after	strictly precedes	starts before	O	p	pmoFD
starts during and ends after	starts with and ends before	starts during	O	s	dfO
starts during and ends after	during which ends	ends after	O	DSO	DSOMP
starts during and ends after	ends with	during which ends	O	Fef	DSO
starts during and ends after	later than	later than	O	OMP	OMP
starts during and ends after	starts during	starts during or after	O	dfO	dfOMP
starts during and ends after	during which starts	ends after start of	O	oFD	oFDseSdfOMP
starts during and ends after	ends during	temporally overlaps	O	osd	oFDseSdfO
starts during and ends after	earlier than	starts before end of	O	pmo	pmoFDseSdfO
starts during and ends after	starts with	starts during or after	O	seS	dfOMP
starts during and ends after	ends after	ends after	O	DSOMP	DSOMP
starts during and ends after	starts during or after	starts during or after	O	dfOMP	dfOMP
starts during and ends after	starts before	temporally related to	O	pmoFD	pmoFDseSdfOMP
starts during and ends after	ends during or before	starts before end of	O	pmosd	pmoFDseSdfO
starts during and ends after	temporally overlaps	ends after start of	O	oFDseSdfO	oFDseSdfOMP
starts during and ends after	ends after start of	ends after start of	O	oFDseSdfOMP	oFDseSdfOMP
starts during and ends after	starts before end of	temporally related to	O	pmoFDseSdfO	pmoFDseSdfOMP
starts during and ends after	temporally related to	temporally related to	O	pmoFDseSdfOMP	pmoFDseSdfOMP
strictly preceded by	encompasses	strictly preceded by	P	D	P
strictly preceded by	ends with and starts before	strictly preceded by	P	F	P
strictly preceded by	immediately preceded by	strictly preceded by	P	M	P
strictly preceded by	starts during and ends after	strictly preceded by	P	O	P
strictly preceded by	strictly preceded by	strictly preceded by	P	P	P
strictly preceded by	starts with and ends after	strictly preceded by	P	S	P
strictly preceded by	happens during	starts during or after	P	d	dfOMP
strictly preceded by	temporally coincides with	strictly preceded by	P	e	P
strictly preceded by	ends with and starts after	strictly preceded by	P	f	P
strictly preceded by	immediately precedes	starts during or after	P	m	dfOMP
strictly preceded by	starts before and ends during	starts during or after	P	o	dfOMP
strictly preceded by	strictly precedes	temporally related to	P	p	pmoFDseSdfOMP
strictly preceded by	starts with and ends before	starts during or after	P	s	dfOMP
strictly preceded by	during which ends	strictly preceded by	P	DSO	P
strictly preceded by	ends with	strictly preceded by	P	Fef	P
strictly preceded by	later than	strictly preceded by	P	OMP	P
strictly preceded by	starts during	starts during or after	P	dfO	dfOMP
strictly preceded by	during which starts	starts during or after	P	oFD	dfOMP
strictly preceded by	ends during	starts during or after	P	osd	dfOMP
strictly preceded by	earlier than	temporally related to	P	pmo	pmoFDseSdfOMP
strictly preceded by	starts with	starts during or after	P	seS	dfOMP
strictly preceded by	ends after	strictly preceded by	P	DSOMP	P
strictly preceded by	starts during or after	starts during or after	P	dfOMP	dfOMP
strictly preceded by	starts before	temporally related to	P	pmoFD	pmoFDseSdfOMP
strictly preceded by	ends during or before	temporally related to	P	pmosd	pmoFDseSdfOMP
strictly preceded by	temporally overlaps	starts during or after	P	oFDseSdfO	dfOMP
strictly preceded by	ends after start of	starts during or after	P	oFDseSdfOMP	dfOMP
strictly preceded by	starts before end of	temporally related to	P	pmoFDseSdfO	pmoFDseSdfOMP
strictly preceded by	temporally related to	temporally related to	P	pmoFDseSdfOMP	pmoFDseSdfOMP
starts with and ends after	encompasses	encompasses	S	D	D
starts with and ends after	ends with and starts before	encompasses	S	F	D
starts with and ends after	immediately preceded by	immediately preceded by	S	M	M
starts with and ends after	starts during and ends after	starts during and ends after	S	O	O
starts with and ends after	strictly preceded by	strictly preceded by	S	P	P
starts with and ends after	starts with and ends after	starts with and ends after	S	S	S
starts with and ends after	happens during	starts during	S	d	dfO
starts with and ends after	temporally coincides with	starts with and ends after	S	e	S
starts with and ends after	ends with and starts after	starts during and ends after	S	f	O
starts with and ends after	immediately precedes	during which starts	S	m	oFD
starts with and ends after	starts before and ends during	during which starts	S	o	oFD
starts with and ends after	strictly precedes	starts before	S	p	pmoFD
starts with and ends after	starts with and ends before	starts with	S	s	seS
starts with and ends after	during which ends	during which ends	S	DSO	DSO
starts with and ends after	ends with	during which ends	S	Fef	DSO
starts with and ends after	later than	later than	S	OMP	OMP
starts with and ends after	starts during	starts during	S	dfO	dfO
starts with and ends after	during which starts	during which starts	S	oFD	oFD
starts with and ends after	ends during	temporally overlaps	S	osd	oFDseSdfO
starts with and ends after	earlier than	starts before	S	pmo	pmoFD
starts with and ends after	starts with	starts with	S	seS	seS
starts with and ends after	ends after	ends after	S	DSOMP	DSOMP
starts with and ends after	starts during or after	starts during or after	S	dfOMP	dfOMP
starts with and ends after	starts before	starts before	S	pmoFD	pmoFD
starts with and ends after	ends during or before	starts before end of	S	pmosd	pmoFDseSdfO
starts with and ends after	temporally overlaps	temporally overlaps	S	oFDseSdfO	oFDseSdfO
starts with and ends after	ends after start of	ends after start of	S	oFDseSdfOMP	oFDseSdfOMP
starts with and ends after	starts before end of	starts before end of	S	pmoFDseSdfO	pmoFDseSdfO
starts with and ends after	temporally related to	temporally related to	S	pmoFDseSdfOMP	pmoFDseSdfOMP
happens during	encompasses	temporally related to	d	D	pmoFDseSdfOMP
happens during	ends with and starts before	ends during or before	d	F	pmosd
happens during	immediately preceded by	strictly preceded by	d	M	P
happens during	starts during and ends after	starts during or after	d	O	dfOMP
happens during	strictly preceded by	strictly preceded by	d	P	P
happens during	starts with and ends after	starts during or after	d	S	dfOMP
happens during	happens during	happens during	d	d	d
happens during	temporally coincides with	happens during	d	e	d
happens during	ends with and starts after	happens during	d	f	d
happens during	immediately precedes	strictly precedes	d	m	p
happens during	starts before and ends during	ends during or before	d	o	pmosd
happens during	strictly precedes	strictly precedes	d	p	p
happens during	starts with and ends before	happens during	d	s	d
happens during	during which ends	temporally related to	d	DSO	pmoFDseSdfOMP
happens during	ends with	ends during or before	d	Fef	pmosd
happens during	later than	starts during or after	d	OMP	dfOMP
happens during	starts during	starts during or after	d	dfO	dfOMP
happens during	during which starts	temporally related to	d	oFD	pmoFDseSdfOMP
happens during	ends during	ends during or before	d	osd	pmosd
happens during	earlier than	ends during or before	d	pmo	pmosd
happens during	starts with	starts during or after	d	seS	dfOMP
happens during	ends after	temporally related to	d	DSOMP	pmoFDseSdfOMP
happens during	starts during or after	starts during or after	d	dfOMP	dfOMP
happens during	starts before	temporally related to	d	pmoFD	pmoFDseSdfOMP
happens during	ends during or before	ends during or before	d	pmosd	pmosd
happens during	temporally overlaps	temporally related to	d	oFDseSdfO	pmoFDseSdfOMP
happens during	ends after start of	temporally related to	d	oFDseSdfOMP	pmoFDseSdfOMP
happens during	starts before end of	temporally related to	d	pmoFDseSdfO	pmoFDseSdfOMP
happens during	temporally related to	temporally related to	d	pmoFDseSdfOMP	pmoFDseSdfOMP
temporally coincides with	encompasses	encompasses	e	D	D
temporally coincides with	ends with and starts before	ends with and starts before	e	F	F
temporally coincides with	immediately preceded by	immediately preceded by	e	M	M
temporally coincides with	starts during and ends after	starts during and ends after	e	O	O
temporally coincides with	strictly preceded by	strictly preceded by	e	P	P
temporally coincides with	starts with and ends after	starts with and ends after	e	S	S
temporally coincides with	happens during	happens during	e	d	d
temporally coincides with	temporally coincides with	temporally coincides with	e	e	e
temporally coincides with	ends with and starts after	ends with and starts after	e	f	f
temporally coincides with	immediately precedes	immediately precedes	e	m	m
temporally coincides with	starts before and ends during	starts before and ends during	e	o	o
temporally coincides with	strictly precedes	strictly precedes	e	p	p
temporally coincides with	starts with and ends before	starts with and ends before	e	s	s
temporally coincides with	during which ends	during which ends	e	DSO	DSO
temporally coincides with	ends with	ends with	e	Fef	Fef
temporally coincides with	later than	later than	e	OMP	OMP
temporally coincides with	starts during	starts during	e	dfO	dfO
temporally coincides with	during which starts	during which starts	e	oFD	oFD
temporally coincides with	ends during	ends during	e	osd	osd
temporally coincides with	earlier than	earlier than	e	pmo	pmo
temporally coincides with	starts with	starts with	e	seS	seS
temporally coincides with	ends after	ends after	e	DSOMP	DSOMP
temporally coincides with	starts during or after	starts during or after	e	dfOMP	dfOMP
temporally coincides with	starts before	starts before	e	pmoFD	pmoFD
temporally coincides with	ends during or before	ends during or before	e	pmosd	pmosd
temporally coincides with	temporally overlaps	temporally overlaps	e	oFDseSdfO	oFDseSdfO
temporally coincides with	ends after start of	ends after start of	e	oFDseSdfOMP	oFDseSdfOMP
temporally coincides with	starts before end of	starts before end of	e	pmoFDseSdfO	pmoFDseSdfO
temporally coincides with	temporally related to	temporally related to	e	pmoFDseSdfOMP	pmoFDseSdfOMP
ends with and starts after	encompasses	ends after	f	D	DSOMP
ends with and starts after	ends with and starts before	ends with	f	F	Fef
ends with and starts after	immediately preceded by	strictly preceded by	f	M	P
ends with and starts after	starts during and ends after	later than	f	O	OMP
ends with and starts after	strictly preceded by	strictly preceded by	f	P	P
ends with and starts after	starts with and ends after	later than	f	S	OMP
ends with and starts after	happens during	happens during	f	d	d
ends with and starts after	temporally coincides with	ends with and starts after	f	e	f
ends with and starts after	ends with and starts after	ends with and starts after	f	f	f
ends with and starts after	immediately precedes	immediately precedes	f	m	m
ends with and starts after	starts before and ends during	ends during	f	o	osd
ends with and starts after	strictly precedes	strictly precedes	f	p	p
ends with and starts after	starts with and ends before	happens during	f	s	d
ends with and starts after	during which ends	ends after	f	DSO	DSOMP
ends with and starts after	ends with	ends with	f	Fef	Fef
ends with and starts after	later than	later than	f	OMP	OMP
ends with and starts after	starts during	starts during or after	f	dfO	dfOMP
ends with and starts after	during which starts	ends after start of	f	oFD	oFDseSdfOMP
ends with and starts after	ends during	ends during	f	osd	osd
ends with and starts after	earlier than	ends during or before	f	pmo	pmosd
ends with and starts after	starts with	starts during or after	f	seS	dfOMP
ends with and starts after	ends after	ends after	f	DSOMP	DSOMP
ends with and starts after	starts during or after	starts during or after	f	dfOMP	dfOMP
ends with and starts after	starts before	temporally related to	f	pmoFD	pmoFDseSdfOMP
ends with and starts after	ends during or before	ends during or before	f	pmosd	pmosd
ends with and starts after	temporally overlaps	ends after start of	f	oFDseSdfO	oFDseSdfOMP
ends with and starts after	ends after start of	ends after start of	f	oFDseSdfOMP	oFDseSdfOMP
ends with and starts after	starts before end of	temporally related to	f	pmoFDseSdfO	pmoFDseSdfOMP
ends with and starts after	temporally related to	temporally related to	f	pmoFDseSdfOMP	pmoFDseSdfOMP
immediately precedes	encompasses	strictly precedes	m	D	p
immediately precedes	ends with and starts before	strictly precedes	m	F	p
immediately precedes	immediately preceded by	ends with	m	M	Fef
immediately precedes	starts during and ends after	ends during	m	O	osd
immediately precedes	strictly preceded by	ends after	m	P	DSOMP
immediately precedes	starts with and ends after	immediately precedes	m	S	m
immediately precedes	happens during	ends during	m	d	osd
immediately precedes	temporally coincides with	immediately precedes	m	e	m
immediately precedes	ends with and starts after	ends during	m	f	osd
immediately precedes	immediately precedes	strictly precedes	m	m	p
immediately precedes	starts before and ends during	strictly precedes	m	o	p
immediately precedes	strictly precedes	strictly precedes	m	p	p
immediately precedes	starts with and ends before	immediately precedes	m	s	m
immediately precedes	during which ends	ends during or before	m	DSO	pmosd
immediately precedes	ends with	ends during or before	m	Fef	pmosd
immediately precedes	later than	ends after start of	m	OMP	oFDseSdfOMP
immediately precedes	starts during	ends during	m	dfO	osd
immediately precedes	during which starts	strictly precedes	m	oFD	p
immediately precedes	ends during	ends during or before	m	osd	pmosd
immediately precedes	earlier than	strictly precedes	m	pmo	p
immediately precedes	starts with	immediately precedes	m	seS	m
immediately precedes	ends after	temporally related to	m	DSOMP	pmoFDseSdfOMP
immediately precedes	starts during or after	ends after start of	m	dfOMP	oFDseSdfOMP
immediately precedes	starts before	strictly precedes	m	pmoFD	p
immediately precedes	ends during or before	ends during or before	m	pmosd	pmosd
immediately precedes	temporally overlaps	ends during or before	m	oFDseSdfO	pmosd
immediately precedes	ends after start of	temporally related to	m	oFDseSdfOMP	pmoFDseSdfOMP
immediately precedes	starts before end of	ends during or before	m	pmoFDseSdfO	pmosd
immediately precedes	temporally related to	temporally related to	m	pmoFDseSdfOMP	pmoFDseSdfOMP
starts before and ends during	encompasses	starts before	o	D	pmoFD
starts before and ends during	ends with and starts before	earlier than	o	F	pmo
starts before and ends during	immediately preceded by	during which ends	o	M	DSO
starts before and ends during	starts during and ends after	temporally overlaps	o	O	oFDseSdfO
starts before and ends during	strictly preceded by	ends after	o	P	DSOMP
starts before and ends during	starts with and ends after	during which starts	o	S	oFD
starts before and ends during	happens during	ends during	o	d	osd
starts before and ends during	temporally coincides with	starts before and ends during	o	e	o
starts before and ends during	ends with and starts after	ends during	o	f	osd
starts before and ends during	immediately precedes	strictly precedes	o	m	p
starts before and ends during	starts before and ends during	earlier than	o	o	pmo
starts before and ends during	strictly precedes	strictly precedes	o	p	p
starts before and ends during	starts with and ends before	starts before and ends during	o	s	o
starts before and ends during	during which ends	starts before end of	o	DSO	pmoFDseSdfO
starts before and ends during	ends with	ends during or before	o	Fef	pmosd
starts before and ends during	later than	ends after start of	o	OMP	oFDseSdfOMP
starts before and ends during	starts during	temporally overlaps	o	dfO	oFDseSdfO
starts before and ends during	during which starts	starts before	o	oFD	pmoFD
starts before and ends during	ends during	ends during or before	o	osd	pmosd
starts before and ends during	earlier than	earlier than	o	pmo	pmo
starts before and ends during	starts with	during which starts	o	seS	oFD
starts before and ends during	ends after	temporally related to	o	DSOMP	pmoFDseSdfOMP
starts before and ends during	starts during or after	ends after start of	o	dfOMP	oFDseSdfOMP
starts before and ends during	starts before	starts before	o	pmoFD	pmoFD
starts before and ends during	ends during or before	ends during or before	o	pmosd	pmosd
starts before and ends during	temporally overlaps	starts before end of	o	oFDseSdfO	pmoFDseSdfO
starts before and ends during	ends after start of	temporally related to	o	oFDseSdfOMP	pmoFDseSdfOMP
starts before and ends during	starts before end of	starts before end of	o	pmoFDseSdfO	pmoFDseSdfO
starts before and ends during	temporally related to	temporally related to	o	pmoFDseSdfOMP	pmoFDseSdfOMP
strictly precedes	encompasses	strictly precedes	p	D	p
strictly precedes	ends with and starts before	strictly precedes	p	F	p
strictly precedes	immediately preceded by	ends during or before	p	M	pmosd
strictly precedes	starts during and ends after	ends during or before	p	O	pmosd
strictly precedes	strictly preceded by	temporally related to	p	P	pmoFDseSdfOMP
strictly precedes	starts with and ends after	strictly precedes	p	S	p
strictly precedes	happens during	ends during or before	p	d	pmosd
strictly precedes	temporally coincides with	strictly precedes	p	e	p
strictly precedes	ends with and starts after	ends during or before	p	f	pmosd
strictly precedes	immediately precedes	strictly precedes	p	m	p
strictly precedes	starts before and ends during	strictly precedes	p	o	p
strictly precedes	strictly precedes	strictly precedes	p	p	p
strictly precedes	starts with and ends before	strictly precedes	p	s	p
strictly precedes	during which ends	ends during or before	p	DSO	pmosd
strictly precedes	ends with	ends during or before	p	Fef	pmosd
strictly precedes	later than	temporally related to	p	OMP	pmoFDseSdfOMP
strictly precedes	starts during	ends during or before	p	dfO	pmosd
strictly precedes	during which starts	strictly precedes	p	oFD	p
strictly precedes	ends during	ends during or before	p	osd	pmosd
strictly precedes	earlier than	strictly precedes	p	pmo	p
strictly precedes	starts with	strictly precedes	p	seS	p
strictly precedes	ends after	temporally related to	p	DSOMP	pmoFDseSdfOMP
strictly precedes	starts during or after	temporally related to	p	dfOMP	pmoFDseSdfOMP
strictly precedes	starts before	strictly precedes	p	pmoFD	p
strictly precedes	ends during or before	ends during or before	p	pmosd	pmosd
strictly precedes	temporally overlaps	ends during or before	p	oFDseSdfO	pmosd
strictly precedes	ends after start of	temporally related to	p	oFDseSdfOMP	pmoFDseSdfOMP
strictly precedes	starts before end of	ends during or before	p	pmoFDseSdfO	pmosd
strictly precedes	temporally related to	temporally related to	p	pmoFDseSdfOMP	pmoFDseSdfOMP
starts with and ends before	encompasses	starts before	s	D	pmoFD
starts with and ends before	ends with and starts before	earlier than	s	F	pmo
starts with and ends before	immediately preceded by	immediately preceded by	s	M	M
starts with and ends before	starts during and ends after	starts during	s	O	dfO
starts with and ends before	strictly preceded by	strictly preceded by	s	P	P
starts with and ends before	starts with and ends after	starts with	s	S	seS
starts with and ends before	happens during	happens during	s	d	d
starts with and ends before	temporally coincides with	starts with and ends before	s	e	s
starts with and ends before	ends with and starts after	happens during	s	f	d
starts with and ends before	immediately precedes	strictly precedes	s	m	p
starts with and ends before	starts before and ends during	earlier than	s	o	pmo
starts with and ends before	strictly precedes	strictly precedes	s	p	p
starts with and ends before	starts with and ends before	starts with and ends before	s	s	s
starts with and ends before	during which ends	starts before end of	s	DSO	pmoFDseSdfO
starts with and ends before	ends with	ends during or before	s	Fef	pmosd
starts with and ends before	later than	starts during or after	s	OMP	dfOMP
starts with and ends before	starts during	starts during	s	dfO	dfO
starts with and ends before	during which starts	starts before	s	oFD	pmoFD
starts with and ends before	ends during	ends during or before	s	osd	pmosd
starts with and ends before	earlier than	earlier than	s	pmo	pmo
starts with and ends before	starts with	starts with	s	seS	seS
starts with and ends before	ends after	temporally related to	s	DSOMP	pmoFDseSdfOMP
starts with and ends before	starts during or after	starts during or after	s	dfOMP	dfOMP
starts with and ends before	starts before	starts before	s	pmoFD	pmoFD
starts with and ends before	ends during or before	ends during or before	s	pmosd	pmosd
starts with and ends before	temporally overlaps	starts before end of	s	oFDseSdfO	pmoFDseSdfO
starts with and ends before	ends after start of	temporally related to	s	oFDseSdfOMP	pmoFDseSdfOMP
starts with and ends before	starts before end of	starts before end of	s	pmoFDseSdfO	pmoFDseSdfO
starts with and ends before	temporally related to	temporally related to	s	pmoFDseSdfOMP	pmoFDseSdfOMP
during which ends	encompasses	ends after	DSO	D	DSOMP
during which ends	ends with and starts before	during which ends	DSO	F	DSO
during which ends	immediately preceded by	ends after	DSO	M	DSOMP
during which ends	starts during and ends after	ends after	DSO	O	DSOMP
during which ends	strictly preceded by	ends after	DSO	P	DSOMP
during which ends	starts with and ends after	ends after	DSO	S	DSOMP
during which ends	happens during	temporally overlaps	DSO	d	oFDseSdfO
during which ends	temporally coincides with	during which ends	DSO	e	DSO
during which ends	ends with and starts after	during which ends	DSO	f	DSO
during which ends	immediately precedes	during which starts	DSO	m	oFD
during which ends	starts before and ends during	temporally overlaps	DSO	o	oFDseSdfO
during which ends	strictly precedes	starts before	DSO	p	pmoFD
during which ends	starts with and ends before	temporally overlaps	DSO	s	oFDseSdfO
during which ends	during which ends	ends after	DSO	DSO	DSOMP
during which ends	ends with	during which ends	DSO	Fef	DSO
during which ends	later than	ends after	DSO	OMP	DSOMP
during which ends	starts during	ends after start of	DSO	dfO	oFDseSdfOMP
during which ends	during which starts	ends after start of	DSO	oFD	oFDseSdfOMP
during which ends	ends during	temporally overlaps	DSO	osd	oFDseSdfO
during which ends	earlier than	starts before end of	DSO	pmo	pmoFDseSdfO
during which ends	starts with	ends after start of	DSO	seS	oFDseSdfOMP
during which ends	ends after	ends after	DSO	DSOMP	DSOMP
during which ends	starts during or after	ends after start of	DSO	dfOMP	oFDseSdfOMP
during which ends	starts before	temporally related to	DSO	pmoFD	pmoFDseSdfOMP
during which ends	ends during or before	starts before end of	DSO	pmosd	pmoFDseSdfO
during which ends	temporally overlaps	ends after start of	DSO	oFDseSdfO	oFDseSdfOMP
during which ends	ends after start of	ends after start of	DSO	oFDseSdfOMP	oFDseSdfOMP
during which ends	starts before end of	temporally related to	DSO	pmoFDseSdfO	pmoFDseSdfOMP
during which ends	temporally related to	temporally related to	DSO	pmoFDseSdfOMP	pmoFDseSdfOMP
ends with	encompasses	ends after	Fef	D	DSOMP
ends with	ends with and starts before	ends with	Fef	F	Fef
ends with	immediately preceded by	ends after	Fef	M	DSOMP
ends with	starts during and ends after	ends after	Fef	O	DSOMP
ends with	strictly preceded by	ends after	Fef	P	DSOMP
ends with	starts with and ends after	ends after	Fef	S	DSOMP
ends with	happens during	ends during	Fef	d	osd
ends with	temporally coincides with	ends with	Fef	e	Fef
ends with	ends with and starts after	ends with	Fef	f	Fef
ends with	immediately precedes	immediately precedes	Fef	m	m
ends with	starts before and ends during	ends during	Fef	o	osd
ends with	strictly precedes	strictly precedes	Fef	p	p
ends with	starts with and ends before	ends during	Fef	s	osd
ends with	during which ends	ends after	Fef	DSO	DSOMP
ends with	ends with	ends with	Fef	Fef	Fef
ends with	later than	ends after	Fef	OMP	DSOMP
ends with	starts during	ends after start of	Fef	dfO	oFDseSdfOMP
ends with	during which starts	ends after start of	Fef	oFD	oFDseSdfOMP
ends with	ends during	ends during	Fef	osd	osd
ends with	earlier than	ends during or before	Fef	pmo	pmosd
ends with	starts with	ends after start of	Fef	seS	oFDseSdfOMP
ends with	ends after	ends after	Fef	DSOMP	DSOMP
ends with	starts during or after	ends after start of	Fef	dfOMP	oFDseSdfOMP
ends with	starts before	temporally related to	Fef	pmoFD	pmoFDseSdfOMP
ends with	ends during or before	ends during or before	Fef	pmosd	pmosd
ends with	temporally overlaps	ends after start of	Fef	oFDseSdfO	oFDseSdfOMP
ends with	ends after start of	ends after start of	Fef	oFDseSdfOMP	oFDseSdfOMP
ends with	starts before end of	temporally related to	Fef	pmoFDseSdfO	pmoFDseSdfOMP
ends with	temporally related to	temporally related to	Fef	pmoFDseSdfOMP	pmoFDseSdfOMP
later than	encompasses	ends after	OMP	D	DSOMP
later than	ends with and starts before	ends after	OMP	F	DSOMP
later than	immediately preceded by	strictly preceded by	OMP	M	P
later than	starts during and ends after	later than	OMP	O	OMP
later than	strictly preceded by	strictly preceded by	OMP	P	P
later than	starts with and ends after	later than	OMP	S	OMP
later than	happens during	starts during or after	OMP	d	dfOMP
later than	temporally coincides with	later than	OMP	e	OMP
later than	ends with and starts after	later than	OMP	f	OMP
later than	immediately precedes	ends after start of	OMP	m	oFDseSdfOMP
later than	starts before and ends during	ends after start of	OMP	o	oFDseSdfOMP
later than	strictly precedes	temporally related to	OMP	p	pmoFDseSdfOMP
later than	starts with and ends before	starts during or after	OMP	s	dfOMP
later than	during which ends	ends after	OMP	DSO	DSOMP
later than	ends with	ends after	OMP	Fef	DSOMP
